"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","IP","W","ERA","WHIP","K","SVH","GP"
"*050ok*","Yennier Cano","BAL","RP","245","FA","","64.13","16%","-1%","63","3","3.71","1.238","60","23","68"
"*02hfr*","Caleb Thielbar","CHC","RP","246","FA","","64.06","14%","-1%","54","3","3.83","1.185","55","24","66"
"*05jp7*","Gavin Williams","CLE","SP","247","FA","","64.06","99%","0%","170","10","3.97","1.341","173","0","31"
"*0512q*","Justin Slaten","BOS","RP","249","FA","","63.9","16%","-2%","50","3","3.42","1.140","46","14","48"
"*05gww*","Cade Horton","CHC","SP","250","FA","","63.88","99%","0%","138","10","3.78","1.290","116","0","26"
"*05tq1*","Spencer Schwellenbach","ATL","SP","253","FA","","63.52","86%","-4%","65","5","3.46","1.046","67","0","10"
"*05h2u*","Jared Jones","PIT","SP","254","FA","","63.45","83%","-3%","114","6","3.87","1.184","125","0","20"
"*02f9m*","Jakob Junis","TEX","RP","256","FA","","63.36","6%","-1%","64","3","3.38","1.109","58","8","45"
"*03ann*","Jeff Hoffman","TOR","RP","257","FA","","63.34","95%","0%","64","3","4.08","1.219","82","25","69"
"*041z3*","John Schreiber","KC","RP","259","FA","","63.23","13%","-1%","61","3","3.84","1.246","60","26","71"
"*06dqb*","Shane Smith","CHW","SP","260","FA","","63.21","88%","0%","155","8","4.01","1.271","151","0","30"
"*04pko*","Grayson Rodriguez","LAA","SP","261","FA","","63.04","91%","-1%","109","7","3.96","1.202","131","0","20"
"*0421q*","Greg Weissert","BOS","RP","262","FA","","63.03","11%","-1%","68","4","3.57","1.250","59","17","67"
"*041rj*","JoJo Romero","STL","RP","263","FA","","62.95","57%","-1%","59","2","3.97","1.322","50","44","62"
"*05rik*","Bubba Chandler","PIT","SP","264","FA","","62.86","99%","0%","145","8","4.03","1.262","149","0","28"
"*02h8d*","Steven Matz","TB","RP","265","FA","","62.83","24%","-2%","105","5","3.94","1.238","88","16","58"
"*04cwf*","Shane Baz","BAL","SP","266","FA","","62.81","97%","0%","153","9","4.06","1.275","146","0","28"
"*04ej3*","Riley OBrien","STL","RP","269","FA","","62.66","53%","-1%","51","2","3.53","1.294","50","27","48"
"*04g1x*","David Peterson","NYM","SP","270","FA","","62.66","80%","-2%","153","10","3.88","1.327","141","0","28"
"*03poq*","Tony Santillan","CIN","RP","271","FA","","62.64","51%","-1%","74","3","4.01","1.351","75","38","75"
"*031bl*","Kyle Finnegan","DET","RP","272","FA","","62.64","56%","-4%","58","3","3.72","1.241","57","22","60"
"*05y7s*","Nolan McLean","NYM","SP","274","FA","","62.49","99%","0%","147","10","3.92","1.313","137","0","26"
"*041tl*","Matt Festa","CLE","RP","275","FA","","62.31","5%","-1%","55","3","3.44","1.218","58","14","60"
"*051c3*","Andrew Nardi","MIA","RP","279","FA","","62.17","8%","0%","44","2","3.68","1.136","61","14","47"
"*04ml0*","Yusei Kikuchi","LAA","SP","282","FA","","61.42","82%","-1%","171","10","4.21","1.333","176","0","32"
"*06ktn*","Tatsuya Imai","HOU","SP","283","FA","","61.31","97%","0%","142","9","4.12","1.282","146","0","26"
"*05vy6*","Bryce Miller","SEA","SP","284","FA","","61.27","89%","-4%","139","8","4.14","1.187","124","0","26"
"*04tji*","Edwin Uceta","TB","RP","287","FA","","61.18","59%","-4%","57","2","3.95","1.246","71","25","50"
"*04t40*","Brayan Bello","BOS","SP","289","FA","","61.06","89%","-2%","169","11","4.05","1.337","142","0","29"
"*04eos*","Joey Cantillo","CLE","SP,RP","290","FA","","60.99","80%","-1%","131","8","3.92","1.305","143","0","25"
"*04k0w*","Camilo Doval","NYY","RP","291","FA","@SF Wed 8:05PM","60.89","56%","-3%","63","3","3.86","1.302","80","23","65"
"*04pvl*","Mike Burrows","HOU","SP","292","FA","","60.87","79%","0%","126","8","4.07","1.254","133","0","24"
"*0318i*","Justin Topa","MIN","RP","293","FA","","60.73","9%","-1%","60","3","3.45","1.267","49","18","61"
"*060eu*","Ben Joyce","LAA","RP","294","FA","","60.55","49%","-4%","51","2","3.71","1.294","57","25","48"
"*03pj4*","Cody Ponce","TOR","SP","298","FA","","60.34","80%","0%","138","9","4.11","1.283","138","0","26"
"*05yb8*","Chad Patrick","MIL","SP","300","FA","","60.15","74%","-1%","148","9","4.14","1.297","147","0","28"
"*02j77*","Chris Martin","TEX","RP","303","FA","","60.07","19%","-1%","43","2","3.35","1.093","43","7","48"
"*04a2t*","Kodai Senga","NYM","SP","305","FA","","59.95","91%","0%","120","8","3.83","1.317","128","0","22"
"*04afl*","Brendon Little","TOR","RP","307","FA","","59.85","34%","-2%","65","3","3.74","1.385","78","27","75"
"*043r7*","Caleb Ferguson","CIN","RP","309","FA","","59.72","6%","-1%","60","3","3.60","1.267","58","16","65"
"*05gdz*","Roki Sasaki","LAD","SP","310","FA","","59.45","96%","-1%","129","9","3.84","1.326","117","0","42"
"*0312g*","Tyler Mahle","SF","SP","312","FA","NYY Wed 8:05PM","59.38","69%","-3%","96","6","3.66","1.208","74","0","18"
"*05lg3*","Brandon Pfaadt","ARI","SP","313","FA","","59.23","81%","-2%","177","10","4.47","1.282","160","0","32"
"*01ucb*","Drew Pomeranz","LAA","RP","314","FA","","59.18","13%","-1%","46","2","3.72","1.174","52","14","54"
"*05a06*","Nick Mears","KC","RP","324","FA","","58.75","8%","-1%","61","3","3.84","1.197","62","14","61"
"*0514o*","Cody Bradford","TEX","SP,RP","325","FA","","58.74","30%","-3%","72","5","3.75","1.111","66","0","26"
"*031d4*","Zack Littell","WSH","SP","328","FA","","58.51","62%","-1%","125","7","3.96","1.208","96","0","22"
"*04y9o*","Jack Leiter","TEX","SP","332","FA","","58.25","95%","0%","162","9","4.22","1.327","161","0","30"
"*05u4l*","Daniel Palencia","CHC","RP","333","FA","","58.24","95%","+1%","57","3","4.11","1.368","69","36","53"
"*04yid*","Ryne Nelson","ARI","SP,RP","334","FA","","58.23","87%","-2%","118","8","3.97","1.237","94","0","22"
"*05tzn*","Parker Messick","CLE","SP","336","FA","","58.19","82%","-2%","107","6","3.79","1.280","112","0","20"
"*03ppa*","A.J. Minter","NYM","RP","337","FA","","58.15","15%","-2%","38","2","3.55","1.132","46","8","42"
"*0658b*","Jonah Tong","NYM","SP","338","FA","","58.1","83%","-4%","48","4","3.19","1.208","59","0","10"
"*06apx*","Trey Yesavage","TOR","SP","339","FA","","58","99%","0%","110","7","3.93","1.318","138","0","22"
"*0312l*","Brad Keller","PHI","RP","341","FA","","57.83","38%","-2%","69","3","3.91","1.333","59","28","57"
"*02mwq*","Zach Eflin","BAL","SP","344","FA","","57.56","59%","-2%","131","8","4.19","1.214","107","0","24"
"*04mlf*","Casey Mize","DET","SP","345","FA","","57.56","90%","-2%","122","8","3.98","1.279","108","0","24"
"*066cf*","Zebby Matthews","MIN","SP","346","FA","","57.5","77%","-4%","112","7","4.02","1.268","115","0","24"
"*02c2h*","Chris Bassitt","BAL","SP","347","FA","","57.46","79%","-2%","154","9","4.09","1.338","139","0","28"
"*02myt*","Steven Okert","HOU","RP","348","FA","","57.41","11%","-1%","67","3","4.03","1.194","79","12","70"
"*03qto*","Evan Phillips","LAD","RP","358","FA","","57.17","16%","-1%","31","2","3.48","1.129","35","8","33"
"*02hxd*","Danny Coulombe","BOS","RP","359","FA","","56.96","5%","0%","44","2","3.68","1.182","48","11","50"
"*0569p*","Coleman Crow","MIL","SP","361","FA","","56.85","21%","-2%","29","2","3.10","1.069","33","0","6"
"*03dqv*","Tanner Banks","PHI","RP","362","FA","","56.84","5%","-1%","72","3","3.88","1.194","63","11","64"
"*02x0f*","Sean Manaea","NYM","SP","363","FA","","56.69","71%","-3%","90","6","4.10","1.178","99","0","18"
"*005m0*","David Robertson","(N/A)","RP","364","FA","","56.6","2%","0%","53","2","3.91","1.283","61","22","54"
"*060ml*","Huascar Brazoban","NYM","RP","365","FA","","56.52","8%","-1%","66","3","3.82","1.288","66","16","52"
"*030vs*","Kirby Yates","LAA","RP","367","FA","","56.47","35%","0%","50","2","3.96","1.240","65","18","53"
"*041w4*","Bryan Baker","TB","RP","369","FA","","56.07","15%","-1%","64","3","4.22","1.250","75","20","68"
"*02mwk*","Jose Berrios","TOR","SP","372","FA","","55.81","72%","-6%","133","8","4.13","1.278","111","0","35"
"*04mlx*","Matthew Liberatore","STL","SP","373","FA","","55.78","68%","0%","147","8","4.10","1.299","116","0","29"
"*04mlr*","Jeffrey Springs","ATH","SP","376","FA","","55.6","63%","-3%","169","9","4.37","1.308","145","0","32"
"*03drc*","Aaron Bummer","ATL","RP","381","FA","","55.39","4%","0%","57","4","3.63","1.263","62","5","51"
"*05uo2*","Logan Henderson","MIL","SP","383","FA","","55.31","89%","-3%","112","7","4.26","1.241","117","0","29"
"*04tk1*","Slade Cecconi","CLE","SP","385","FA","","55.24","62%","-2%","155","8","4.35","1.271","129","0","28"
"*02hdy*","Pierce Johnson","CIN","RP","386","FA","","55.21","9%","-1%","61","3","4.13","1.246","68","18","64"
"*04s1h*","Luis Gil","NYY","SP","388","FA","@SF Wed 8:05PM","55.12","90%","-1%","137","9","4.14","1.350","135","0","26"
"*06elo*","Matt Svanson","STL","RP","389","FA","","54.97","30%","+1%","65","4","3.46","1.277","59","4","41"
"*066d2*","Cade Gibson","MIA","RP","391","FA","","54.71","4%","0%","61","4","3.39","1.279","53","4","46"
"*041rd*","Corbin Burnes","ARI","SP","392","FA","","54.46","78%","-2%","63","4","3.71","1.190","60","0","10"
"*02bve*","Blake Treinen","LAD","RP","393","FA","","54.38","13%","-1%","44","2","3.89","1.250","53","16","46"
"*03btm*","Jose Alvarado","PHI","RP","396","FA","","54.05","27%","-2%","42","3","3.64","1.238","50","6","46"
"*05ad7*","Manuel Rodriguez","TB","RP","398","FA","","54.01","6%","-1%","24","2","3.38","1.125","21","4","22"
"*03cav*","Brent Suter","LAA","RP","399","FA","","53.92","3%","0%","69","5","3.78","1.232","56","3","50"
"*06f1r*","Connelly Early","BOS","SP","400","FA","","53.91","90%","-2%","72","5","3.63","1.306","82","0","14"
"*05rcp*","Tommy Nance","TOR","RP","401","FA","","53.84","2%","0%","34","2","3.44","1.176","36","4","35"
"*041x9*","Graham Ashcraft","CIN","RP","403","FA","","53.76","21%","-1%","66","3","4.09","1.333","57","26","65"
"*04mnw*","Ryan Weathers","NYY","SP","404","FA","@SF Wed 8:05PM","53.73","85%","-2%","101","7","4.10","1.267","96","0","20"
"*02n2x*","Paul Sewald","ARI","RP","405","FA","","53.61","16%","+1%","45","2","4.00","1.244","46","19","50"
"*03zbj*","Brusdar Graterol","LAD","RP","406","FA","","53.57","13%","-2%","28","2","2.89","1.143","21","0","29"
"*04aoq*","Jason Foley","SF","RP","407","FA","NYY Wed 8:05PM","53.56","9%","-1%","24","2","3.00","1.125","19","0","29"
"*05a29*","Carmen Mlodzinski","PIT","SP,RP","411","FA","","53.41","17%","-1%","71","4","3.68","1.296","61","6","43"
"*025ko*","Justin Wilson","(N/A)","RP","414","FA","","53.26","1%","0%","54","2","4.00","1.278","60","18","65"
"*041yb*","Dean Kremer","BAL","SP","415","FA","","53.25","54%","-4%","143","8","4.34","1.301","125","0","26"
"*051eh*","Kevin Kelly","TB","RP","416","FA","","53.11","3%","0%","49","2","3.86","1.143","43","8","49"
