"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*05m49*","Jung Hoo Lee","SF","OF","286","FA","NYY Wed 8:05PM","61.18","86%","-1%","558","150","35","8","10",".327","112","145"
"*031t0*","Gleyber Torres","DET","2B","288","FA","","61.06","96%","0%","538","140","25","17","4",".357","128","146"
"*04azv*","Jake Burger","TEX","1B","295","FA","","60.49","76%","-1%","507","123","25","28","1",".292","116","130"
"*060x1*","Wilyer Abreu","BOS","OF","296","FA","","60.35","92%","-1%","437","109","26","22","8",".331","116","134"
"*04si2*","Andrew Vaughn","MIL","1B","297","FA","","60.35","83%","-1%","521","132","29","20","0",".314","127","135"
"*051em*","Kerry Carpenter","DET","OF","299","FA","","60.22","92%","-1%","489","124","27","27","1",".305","116","132"
"*03dp8*","Ramon Laureano","SD","OF","301","FA","","60.12","84%","-1%","445","119","29","20","7",".333","111","122"
"*01usi*","Marcell Ozuna","PIT","UT","302","FA","","60.07","86%","-1%","509","135","25","24","0",".361","122","139"
"*06fzu*","Kazuma Okamoto","TOR","1B,3B","304","FA","","60","97%","0%","533","131","31","22","1",".339","95","156"
"*0622w*","Chandler Simpson","TB","OF","306","FA","","59.89","96%","0%","445","129","21","0","51",".332","83","108"
"*050c3*","Jasson Dominguez","NYY","OF","308","FA","@SF Wed 8:05PM","59.81","91%","-3%","414","104","18","14","25",".333","104","111"
"*05gsc*","Jordan Westburg","BAL","3B","311","FA","","59.4","88%","-4%","468","123","27","22","4",".317","114","116"
"*03qjy*","Brandon Lowe","PIT","2B","315","FA","","59.1","97%","0%","485","121","21","26","3",".315","122","124"
"*03qr0*","Cedric Mullins","TB","OF","316","FA","","59.01","64%","-3%","408","89","24","13","22",".302","102","122"
"*03pzn*","Andres Gimenez","TOR","2B","317","FA","","58.98","69%","-2%","510","124","22","10","20",".307","104","141"
"*05rfu*","Kyle Manzardo","CLE","1B","318","FA","","58.97","89%","-1%","506","120","28","25","2",".332","98","143"
"*05tce*","Connor Norby","MIA","3B","319","FA","","58.88","57%","-4%","466","118","27","15","11",".323","106","124"
"*05t9v*","Jonathan Aranda","TB","1B","320","FA","","58.86","96%","0%","457","127","26","21","0",".375","118","126"
"*041q8*","Brandon Marsh","PHI","OF","321","FA","","58.8","51%","-3%","428","115","26","13","15",".347","106","132"
"*0513c*","Joey Ortiz","MIL","SS","322","FA","","58.79","42%","-3%","490","119","27","9","15",".305","112","142"
"*0630d*","Drake Baldwin","ATL","C","323","FA","","58.76","99%","0%","471","128","21","19","0",".348","123","127"
"*04q2n*","Adley Rutschman","BAL","C","326","FA","","58.72","99%","0%","529","132","26","15","0",".336","116","139"
"*04efa*","Daulton Varsho","TOR","OF","327","FA","","58.68","89%","+1%","464","101","26","23","5",".284","121","125"
"*042sz*","Will Smith","LAD","C","329","FA","","58.44","99%","0%","399","107","22","17","2",".372","124","114"
"*0648z*","Victor Scott","STL","OF","330","FA","","58.43","64%","-3%","463","103","16","6","39",".300","90","135"
"*04z6k*","Luisangel Acuna","CHW","2B","331","FA","","58.31","66%","-2%","474","109","20","5","36",".281","89","127"
"*04y9p*","Anthony Volpe","NYY","SS","335","FA","@SF Wed 8:05PM","58.2","73%","-5%","452","102","27","13","17",".286","99","116"
"*02yd1*","Jorge Polanco","NYM","2B","340","FA","","57.85","92%","0%","468","114","23","22","6",".321","116","125"
"*052ru*","Josh Smith","TEX","1B,3B,SS","342","FA","","57.71","66%","-1%","488","121","26","12","11",".334","104","140"
"*041qs*","Austin Hays","CHW","OF","343","FA","","57.58","47%","-3%","450","114","28","16","8",".309","114","124"
