,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Trevor Story,,33,BOS,SS,,$5,$5,$7,$7,104,-1.7,1.7,.295,20,27,116,22,,,,,,,
,,,Corey Seager,,31,TEX,SS,,$5,$5,$8,$8,73,-1.8,1.6,.357,25,24,109,3,,,,,,,
,,,Brandon Woodruff,Inj,33,MIL,SP,,$5,$5,$6,$6,103,0.1,2.1,9,0,130,3.74,1.13,,,,,,,
,,,Blake Snell,Inj,33,LAD,SP,,$4,$4,$6,$6,86,0.0,2.1,9,0,149,3.57,1.22,,,,,,,
,,,Salvador Perez,,35,KC,C,1B,$4,$4,$4,$4,107,-3.0,1.6,.295,26,28,115,0,,,,,,,
,,,Adley Rutschman,,28,BAL,C,,$4,$4,$1,$1,167,-2.6,1.5,.345,17,27,110,1,,,,,,,
,,,Caleb Durbin,,26,BOS,3B,2B,$4,$4,$2,$2,251,-2.9,1.5,.316,11,27,103,21,,,,,,,
,,,Jordan Beck,,24,COL,OF,,$4,$4,$2,$2,229,-1.9,1.5,.319,16,29,106,16,,,,,,,
,,,Kyle Bradish,,29,BAL,SP,,$4,$4,$5,$5,71,-0.1,2.0,9,0,132,3.58,1.17,,,,,,,
,,,Munetaka Murakami,,26,CHW,3B,,$4,$4,$3,$3,227,-2.5,1.4,.345,28,17,112,8,,,,,,,
,,,Jurickson Profar,,33,ATL,OF,,$4,$4,$5,$5,157,-2.0,1.4,.343,17,26,113,8,,,,,,,
,,,Alec Burleson,,27,STL,OF,1B,$4,$4,$6,$6,174,-2.5,1.4,.334,19,26,111,6,,,,,,,
,,,Joe Musgrove,Inj,33,SD,SP,,$4,$4,$3,$3,222,-0.2,1.8,8,0,127,3.86,1.12,,,,,,,
