"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"143142","Tanner Gordon","[""sp"",""p""]","COL","-23.28","50","0","0","0","0","0","0","0","77.3","3","54","5.26","1.36","1"
"143994","Ryan Bergert","[""sp"",""p""]","KC","-23.3","50","0","0","0","0","0","0","0","50","3","42","4.46","1.34","1"
"109130","Cionel Pérez","[""rp"",""p""]","WAS","-23.32","50","0","0","0","0","0","0","0","25","1","23","5.16","1.56","3"
"163878","Hayden Birdsong","[""sp"",""rp"",""p""]","SF","-23.33","50","0","0","0","0","0","0","0","61.7","3","66","4.91","1.43","1"
"107930","Austin Hays","[""of"",""u""]","CHW","-23.4","50","414","382","12","3","0.292","77","19","0","0","0","0","0","0"
"104730","Scott Blewett","[""rp"",""p""]","STL","-23.41","50","0","0","0","0","0","0","0","12.7","1","11","4.87","1.39","2"
"164622","Shinnosuke Ogasawara","[""rp"",""p""]","WAS","-23.53","50","0","0","0","0","0","0","0","12.3","1","10","4.58","1.3","1"
"170210","Matt Shaw","[""3b"",""ci"",""u""]","CHC","-23.66","50","317","286","10","14","0.302","61","14","0","0","0","0","0","0"
"103355","Mauricio Dubón","[""ss"",""2b"",""3b"",""mi"",""ci"",""of"",""u""]","ATL","-23.68","50","419","395","8","2","0.297","78","20","0","0","0","0","0","0"
"149134","Zach Brzykcy","[""rp"",""p""]","MIA","-23.76","50","0","0","0","0","0","0","0","12.3","1","13","5.07","1.46","1"
"122051","Josiah Gray","[""p""]","WAS","-23.77","50","0","0","0","0","0","0","0","74.3","3","68","5.26","1.42","0"
"127375","Ty Madden","[""rp"",""p""]","DET","-23.82","50","0","0","0","0","0","0","0","12.7","1","13","5.03","1.41","0"
"151232","Ryan Loutos","[""rp"",""p""]","SEA","-23.88","50","0","0","0","0","0","0","0","10.7","1","9","4.61","1.37","1"
"144607","Brandon Sproat","[""p""]","MIL","-23.89","50","0","0","0","0","0","0","0","46.3","3","40","4.38","1.33","0"
"151195","Carter Jensen","[""u""]","KC","-23.94","50","368","334","10","2","0.311","68","20","0","0","0","0","0","0"
"143599","Juan Burgos","[""rp"",""p""]","AZ","-23.96","50","0","0","0","0","0","0","0","11","1","10","5.05","1.46","1"
"136390","Christian Scott","[""sp"",""p""]","NYM","-24.04","50","0","0","0","0","0","0","0","34.3","2","32","4","1.2","1"
"143787","Dominic Canzone","[""of"",""u""]","SEA","-24.06","50","365","333","14","3","0.3","71","17","0","0","0","0","0","0"
