"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"69887","Nick Martinez","[""sp"",""rp"",""p""]","TB","-0.74","50","0","0","0","0","0","0","0","127.3","8","87","4.23","1.25","3"
"110284","Isaac Mattson","[""rp"",""p""]","PIT","-0.74","50","0","0","0","0","0","0","0","60.7","4","54","4.09","1.26","26"
"130740","Ryne Nelson","[""sp"",""rp"",""p""]","AZ","-0.75","50","0","0","0","0","0","0","0","127","7","108","4.15","1.26","0"
"137252","Shane Smith","[""sp"",""p""]","CHW","-0.77","50","0","0","0","0","0","0","0","137","6","137","4.13","1.28","0"
"105559","Eduard Bazardo","[""rp"",""p""]","SEA","-0.77","50","0","0","0","0","0","0","0","54.7","3","50","3.53","1.17","22"
"102751","Gabe Speier","[""rp"",""p""]","SEA","-0.85","50","0","0","0","0","0","0","0","54.7","3","61","3.16","1.1","10"
"111244","David Peterson","[""sp"",""p""]","NYM","-0.87","50","0","0","0","0","0","0","0","154","10","138","4.35","1.36","0"
"126961","Jacob Lopez","[""sp"",""p""]","SAC","-0.88","50","0","0","0","0","0","0","0","105","6","112","3.88","1.21","0"
"110327","Juan Mejia","[""rp"",""p""]","COL","-0.93","50","0","0","0","0","0","0","0","63.7","3","68","4.27","1.31","28"
"100612","Matt Strahm","[""rp"",""p""]","KC","-0.95","50","0","0","0","0","0","0","0","56","3","56","3.2","1.08","10"
"112439","Graham Ashcraft","[""rp"",""p""]","CIN","-0.95","50","0","0","0","0","0","0","0","64","4","59","4.28","1.33","27"
"115926","Slade Cecconi","[""sp"",""p""]","CLE","-0.99","50","0","0","0","0","0","0","0","134.7","7","114","4.5","1.26","0"
"68404","Drew Pomeranz","[""rp"",""p""]","LAA","-1","50","0","0","0","0","0","0","0","55","3","53","3.74","1.2","23"
"111013","Will Vest","[""rp"",""p""]","DET","-1.03","50","0","0","0","0","0","0","0","54","3","51","3.72","1.24","27"
"105147","Ramón Laureano","[""of"",""u""]","SD","-1.03","50","541","492","18","9","0.299","102","26","0","0","0","0","0","0"
"108089","Dylan Lee","[""rp"",""p""]","ATL","-1.05","50","0","0","0","0","0","0","0","54.3","3","60","3.19","1.1","10"
"147872","Masyn Winn","[""ss"",""mi"",""u""]","STL","-1.05","50","610","561","13","12","0.3","107","29","0","0","0","0","0","0"
"68933","Steven Okert","[""rp"",""p""]","HOU","-1.24","50","0","0","0","0","0","0","0","59","4","65","3.84","1.19","10"
"126657","Matthew Liberatore","[""sp"",""p""]","STL","-1.24","50","0","0","0","0","0","0","0","154","8","120","4.41","1.31","0"
"158579","Parker Messick","[""sp"",""p""]","CLE","-1.28","50","0","0","0","0","0","0","0","121.7","6","115","3.96","1.25","0"
"130661","Bo Naylor","[""c"",""u""]","CLE","-1.29","50","483","432","18","5","0.309","90","23","0","0","0","0","0","0"
"114206","Taj Bradley","[""sp"",""p""]","MIN","-1.29","50","0","0","0","0","0","0","0","132.7","7","124","4.3","1.31","2"
